strategy,forecast_origin,target_weight_date,weights_drifted_to,next_day_volatility_pct,next_week_volatility_pct,next_day_annualized_volatility_pct,next_week_annualized_volatility_pct,gross_exposure_pct,net_exposure_pct
Equal Weight,2026-09-11,2026-07-01,2026-09-11,0.669833668881338,1.4900083987855115,10.63327984582803,10.578010277644315,99.9999999999999,99.9999999999999
TSMOM Inverse Volatility,2026-09-11,2026-07-01,2026-09-11,0.7024177903297174,1.5472208849037552,11.150536738079655,10.984178636602325,126.7705614148644,91.64373450280715
TSMOM Shrinkage Precision,2026-09-11,2026-07-01,2026-09-11,0.5388551747197124,1.1980413839181874,8.55406070993171,8.50525009285809,148.55814508250342,54.947838367489
TSMOM cDCC Precision,2026-09-11,2026-07-01,2026-09-11,0.5516270239424687,1.2228726385169313,8.75680753088667,8.681534512842843,149.62859172197594,55.85056581740033
