strategy,annualized_return_pct,annualized_volatility_pct,sharpe_ratio,maximum_drawdown_pct,calmar_ratio,annualized_turnover_pct,total_transaction_cost_pct,final_nav,observations
Equal Weight,14.855079654793201,10.600970431997414,1.3598558447725204,-11.275265777032972,1.3174926381826042,22.2562979736718,0.042304629878526956,1.6930362789823434,958
Shrinkage Risk Parity,10.164444325027166,7.987536015591773,1.2520975991666334,-8.477803079208268,1.198947914932746,23.60463823797484,0.0448675464920236,1.4448549015155232,958
cDCC Risk Parity,9.954048055198417,8.061778234732294,1.217576963667032,-8.498984375384689,1.1712044187336053,47.798634035200905,0.09085534009071919,1.4343926849202937,958
Shrinkage Minimum Variance,6.974426583145399,6.907854832375198,1.010647170180879,-7.144032483240903,0.9762590804992306,37.69215281863711,0.07164500476240943,1.2921423226056226,958
cDCC Minimum Variance,7.7573712964494,7.0362109106684265,1.0971381293111608,-7.14472855943783,1.0857475174759859,138.90301599857787,0.26402597088618573,1.3284648229402245,958
