date,training_start,training_end,observations,cdcc_a,cdcc_b,cdcc_persistence,cdcc_converged,ledoit_wolf_shrinkage
2022-07-12,2020-05-07,2022-07-11,504,0.018267906204169595,0.9061329946751301,0.9244009008792997,True,0.026878648903611774
2022-10-03,2020-05-07,2022-09-30,557,0.015619644759800268,0.9243380274176275,0.9399576721774278,True,0.023118472691721088
2023-01-04,2020-05-07,2022-12-30,616,0.016207998471894306,0.936485651475654,0.9526936499475483,True,0.019500087899033933
2023-04-03,2020-05-07,2023-03-31,674,0.01501339649192861,0.9433596987262595,0.958373095218188,True,0.01744572259827897
2023-07-03,2020-05-07,2023-06-30,730,0.014466347567778875,0.9451305255277603,0.9595968730955392,True,0.016227470401670174
2023-10-02,2020-06-25,2023-09-29,756,0.012819844924166508,0.9512287805806525,0.9640486255048191,True,0.01572911000480259
2024-01-04,2020-09-29,2023-12-29,756,0.013523760171353783,0.9453725883470515,0.9588963485184053,True,0.015695808135763312
2024-04-02,2020-12-21,2024-03-28,756,0.013119113391853829,0.9503091599845469,0.9634282733764007,True,0.0161621834557168
2024-07-01,2021-03-25,2024-06-28,756,0.01268613860315469,0.9496016617360058,0.9622878003391605,True,0.016057968333474133
2024-10-01,2021-06-25,2024-09-30,756,0.014810010103350833,0.9463021887321388,0.9611121988354896,True,0.016292772242621736
2025-01-06,2021-09-29,2024-12-30,756,0.015876190089895475,0.9369992624441513,0.9528754525340468,True,0.015687069617415516
2025-04-01,2021-12-17,2025-03-31,756,0.01550262257940429,0.9384451659038544,0.9539477884832587,True,0.01511706252405365
2025-07-01,2022-03-24,2025-06-30,756,0.01541654914038813,0.9243619942392189,0.9397785433796071,True,0.015802936700443124
2025-10-01,2022-06-30,2025-09-30,756,0.01552755181621686,0.9325025892829205,0.9480301410991374,True,0.01929234101093314
2026-01-05,2022-09-29,2025-12-30,756,0.016137579239853997,0.9262721362301407,0.9424097154699947,True,0.02073149379305832
2026-04-01,2022-12-21,2026-03-31,756,0.018635082198172535,0.8979628571465039,0.9165979393446765,True,0.02305617460830515
2026-07-01,2023-03-23,2026-06-30,756,0.01910853987310817,0.9083512938682093,0.9274598337413175,True,0.024141063567676792
