date,strategy,gross_exposure,net_exposure,predicted_volatility,turnover,cdcc_a,cdcc_b,cdcc_persistence,shrinkage
2022-07-12,Equal Weight,1.0,1.0,0.09530655035487544,0.5,0.017120661359861504,0.9089316049727861,0.9260522663326476,0.026347586418135394
2022-07-12,TSMOM Inverse Volatility,1.4999999999999998,-0.4303543724833973,0.05890282252470653,0.7499999999999999,0.017120661359861504,0.9089316049727861,0.9260522663326476,0.026347586418135394
2022-07-12,TSMOM Shrinkage Precision,1.4999999999999998,-0.20903977877407298,0.047633117077771195,0.7499999999999999,0.017120661359861504,0.9089316049727861,0.9260522663326476,0.026347586418135394
2022-07-12,TSMOM cDCC Precision,1.5,-0.33629996535291184,0.05613950529602327,0.75,0.017120661359861504,0.9089316049727861,0.9260522663326476,0.026347586418135394
2022-10-03,Equal Weight,1.0,1.0,0.10078072250504508,0.02349825644084181,0.014782439167315992,0.9314866104468912,0.9462690496142072,0.022790321641720485
2022-10-03,TSMOM Inverse Volatility,1.4999999999999996,0.5164363789240707,0.058034295217816355,0.6112629722239774,0.014782439167315992,0.9314866104468912,0.9462690496142072,0.022790321641720485
2022-10-03,TSMOM Shrinkage Precision,1.5000000000000004,0.2709391113595336,0.042797862428010335,0.5797576908240197,0.014782439167315992,0.9314866104468912,0.9462690496142072,0.022790321641720485
2022-10-03,TSMOM cDCC Precision,1.5,0.32115213445895807,0.05477751934450588,0.6056569661487082,0.014782439167315992,0.9314866104468912,0.9462690496142072,0.022790321641720485
2023-01-04,Equal Weight,1.0,1.0,0.1073198623416806,0.01710808677316561,0.014623499269903707,0.9404067881984403,0.955030287468344,0.01949562217765403
2023-01-04,TSMOM Inverse Volatility,1.3729515121550941,0.5884755220572518,0.08357924170902412,0.6261487768513603,0.014623499269903707,0.9404067881984403,0.955030287468344,0.01949562217765403
2023-01-04,TSMOM Shrinkage Precision,1.3490403363842074,0.043531664989629515,0.05188006642575408,0.947879593213278,0.014623499269903707,0.9404067881984403,0.955030287468344,0.01949562217765403
2023-01-04,TSMOM cDCC Precision,1.2805052623566986,0.10118893617572614,0.055192334279838856,0.9442617359012483,0.014623499269903707,0.9404067881984403,0.955030287468344,0.01949562217765403
2023-04-03,Equal Weight,1.0,1.0,0.10766940241217725,0.01955204701807983,0.013629424893825173,0.9447725061779378,0.958401931071763,0.017408131613298992
2023-04-03,TSMOM Inverse Volatility,1.3162645888464268,0.9300498267376619,0.0985846105074588,0.34613305236858494,0.013629424893825173,0.9447725061779378,0.958401931071763,0.017408131613298992
2023-04-03,TSMOM Shrinkage Precision,1.4765710201563775,0.7300460382180892,0.09040613886724504,0.6950563482251841,0.013629424893825173,0.9447725061779378,0.958401931071763,0.017408131613298992
2023-04-03,TSMOM cDCC Precision,1.382632798712959,0.6641609959317324,0.08505113052368084,0.6630911479681981,0.013629424893825173,0.9447725061779378,0.958401931071763,0.017408131613298992
2023-07-03,Equal Weight,1.0,1.0,0.10599810260820818,0.01556747043055505,0.013295464289045494,0.943873073109318,0.9571685373983635,0.016174844939740723
2023-07-03,TSMOM Inverse Volatility,1.0561115805857313,0.9999999999999997,0.08665402096172618,0.248545858279006,0.013295464289045494,0.943873073109318,0.9571685373983635,0.016174844939740723
2023-07-03,TSMOM Shrinkage Precision,1.5,0.9624494348556127,0.08962817089971226,0.5081864549751944,0.013295464289045494,0.943873073109318,0.9571685373983635,0.016174844939740723
2023-07-03,TSMOM cDCC Precision,1.5,0.9803366445283469,0.07748447707625829,0.4960454735156257,0.013295464289045494,0.943873073109318,0.9571685373983635,0.016174844939740723
2023-10-02,Equal Weight,1.0,1.0,0.10153943135287209,0.022173670904473298,0.011970116235926457,0.9504324004258139,0.9624025166617404,0.015740835901665872
2023-10-02,TSMOM Inverse Volatility,1.2995164816097122,0.8576457799277902,0.09386850901168137,0.4654031529960132,0.011970116235926457,0.9504324004258139,0.9624025166617404,0.015740835901665872
2023-10-02,TSMOM Shrinkage Precision,1.3504229080851242,0.550422908085124,0.06936897936819929,1.0008511547942003,0.011970116235926457,0.9504324004258139,0.9624025166617404,0.015740835901665872
2023-10-02,TSMOM cDCC Precision,1.4406716459703497,0.6406716459703495,0.06027770227326535,0.9897213728446567,0.011970116235926457,0.9504324004258139,0.9624025166617404,0.015740835901665872
2024-01-04,Equal Weight,1.0,1.0,0.10275167143274545,0.02128737678371022,0.012565668212721613,0.9420811262462871,0.9546467944590088,0.015662595005755196
2024-01-04,TSMOM Inverse Volatility,1.5,0.4925037463283586,0.09021472889164535,0.6381641141907124,0.012565668212721613,0.9420811262462871,0.9546467944590088,0.015662595005755196
