Date,Equal Weight,Shrinkage Risk Parity,cDCC Risk Parity,Shrinkage Minimum Variance,cDCC Minimum Variance
2022-07-12,0.9968221912674695,0.9997700411938043,0.9997018353206832,1.0046934554573055,1.002862953967684
2022-07-13,0.9936654890456836,0.9973673271856331,0.9971649185741729,1.001575805123754,1.0002070871854911
2022-07-14,0.9916591628905279,0.9965548373060212,0.9961636368318505,1.002817498843144,0.9994700094889263
2022-07-15,1.0071079918451755,1.008336231517096,1.0078037316987272,1.0133471508906566,1.0085275514499552
2022-07-19,1.0173706843441637,1.0147954032925086,1.0148319146457478,1.0168795644173454,1.0131935522391566
2022-07-20,1.0193748845836215,1.016247269694051,1.016194714377653,1.018201188429433,1.0133657845592259
2022-07-21,1.0253821264329044,1.0225154429456753,1.0225126792802244,1.0257338146282224,1.0204698701954342
2022-07-22,1.0230916188457453,1.0224073650212286,1.0222671752746193,1.0263689572287185,1.0225533661860486
2022-07-25,1.018635669459904,1.0184452854394073,1.018547334659101,1.0225277729430173,1.0182856166918484
2022-07-26,1.0155742577403102,1.0166890555104822,1.0166788513065301,1.0212549333469547,1.0171077025960922
2022-07-27,1.028853847770989,1.026444376445772,1.0266590591298643,1.029099996852542,1.0257279792981702
2022-07-28,1.0349569664825404,1.0315869644280047,1.0320040471113603,1.0332265502875755,1.0307325641675589
2022-07-29,1.0310114254553115,1.0274334722312337,1.028242961377723,1.0276354205856455,1.0270018743813227
2022-08-01,1.0222781273788157,1.0223153285279416,1.023287066748485,1.0256118135450976,1.0253488285899586
2022-08-02,1.0048748076332497,1.0082015294513866,1.0091682556551709,1.0116096653441375,1.0116076508357723
2022-08-03,1.0162023161531066,1.0167301655491037,1.0176875179540137,1.0200464271963976,1.0193282682777656
2022-08-04,1.0213846419264752,1.0223068702797073,1.02318923124215,1.0269727850500778,1.0250518056961324
2022-08-05,1.0097123636238219,1.0116781092134008,1.0132188972264928,1.0151933626817893,1.0145854896127697
2022-08-08,1.0292961911055434,1.0271932503042993,1.0283225351603766,1.0285319900022432,1.0269861872186576
2022-08-09,1.0252780565784276,1.023665688608541,1.02478171786522,1.0237282367152487,1.022637290354888
2022-08-10,1.0373188976096013,1.0322700862130396,1.0336294175907752,1.030920551418975,1.0300324359499522
2022-08-12,1.043201030346102,1.036310956110224,1.0379845583767242,1.0335691319141564,1.0334369713906315
2022-08-15,1.0419330496314538,1.036929158768556,1.0387313510422245,1.0361573936698145,1.0350896317707488
2022-08-16,1.0352487968499497,1.031458297401245,1.0335912897147825,1.0318218883917647,1.0308941422727576
2022-08-17,1.036768974158157,1.0325608883294402,1.0346259882716773,1.0323909895810532,1.0308102064688718
2022-08-18,1.0415220407813366,1.0358130401516317,1.0375743562956836,1.0356129680830453,1.0331543850367484
2022-08-19,1.0363824138874853,1.0312859531144716,1.0331450665356536,1.032714095980218,1.029261234845843
2022-08-22,1.0317372172356216,1.0272660193341487,1.0287818645136642,1.0298728029097832,1.025766609726288
2022-08-23,1.03412771306479,1.028153738243062,1.0294308866623223,1.0303366859410967,1.026533360073526
2022-08-24,1.0306787914787516,1.024683603456176,1.0261264031990174,1.0263991614453627,1.0233486071829878
2022-08-25,1.037816124970575,1.0300790361370273,1.031853558457642,1.031686360794576,1.0286978272443945
2022-08-26,1.0246803394548532,1.0217658699734435,1.0232158207780393,1.0263278437927734,1.023305610201816
2022-08-30,1.024752908549505,1.0235495884944372,1.0249301711784187,1.030441658928834,1.0269285585205719
2022-08-31,1.018455502337528,1.018914507771818,1.020316791927335,1.0274240287965213,1.021610957835623
2022-09-01,1.0107963712667798,1.012789493766275,1.0144409291955863,1.0246190117302818,1.017769222744848
2022-09-02,1.0151001379133648,1.0166196723716399,1.0176700786462425,1.0294596670381624,1.0214204063964167
2022-09-06,1.0168805710671704,1.017056656371655,1.0184448299110171,1.028825262352901,1.021275125579269
2022-09-07,1.036348843967787,1.0332506264548276,1.0346199941663556,1.0463790512546536,1.036745715127355
