Date,Equal Weight,TSMOM Inverse Volatility,TSMOM Shrinkage Precision,TSMOM cDCC Precision
2022-07-12,0.9968221679160928,1.002693138063029,1.0020595602280553,1.0013861085548756
2022-07-13,0.9936654674839341,1.004954974956132,1.0022620842266494,1.0021635785139118
2022-07-14,0.9916591675423755,1.0071466826287714,1.00493998102531,1.0041030380781928
2022-07-15,1.0071079799231855,1.0056310582296426,1.0074686733299152,1.005514522257279
2022-07-19,1.0173706203494917,1.0012499057121504,1.007068713104945,1.004808720879425
2022-07-20,1.0193749325534696,0.9970000932337856,1.0052998124791386,1.0025361062099667
2022-07-21,1.0253821211294705,0.9976669658142656,1.0062676159547923,1.0030081933112271
2022-07-22,1.0230916310750242,0.9927605671309175,1.0027527236537694,0.9999678915798069
2022-07-25,1.0186356834183172,0.9937327100533746,1.0010437600334166,0.9988745146754161
2022-07-26,1.0155742234945462,0.9941968434359958,1.0006000064592493,0.9985483541942372
2022-07-27,1.0288538259784645,0.993252955059177,1.000804524432199,0.9981932867687936
2022-07-28,1.0349569890178356,0.9883098136256356,0.9994827304623692,0.997157833507832
2022-07-29,1.031011419657636,0.9868695573407913,0.9974290232967187,0.9961634830111339
2022-08-01,1.0222781172293094,0.9867628040928367,0.9956255423171827,0.9944565048582297
2022-08-02,1.0048747713576154,0.9883915679572954,0.9946831552135603,0.9953627910727618
2022-08-03,1.0162023653030652,0.9909486850295383,0.9990272304878087,0.9985191090721208
2022-08-04,1.0213846673211895,0.9884923161659254,0.9959426464188904,0.995060832236121
2022-08-05,1.009712339410964,0.9884393223394825,0.9944646014662167,0.9947864215162902
2022-08-08,1.0292961422543427,0.9870779136474139,0.9962755121590715,0.9950659056754552
2022-08-09,1.0252780422848011,0.9889049433249573,0.9975300828870934,0.9970066720225454
2022-08-10,1.0373188924737702,0.9858357415626063,0.9973173195311161,0.9962125301891662
2022-08-12,1.043201068933279,0.988134484039912,1.002471763374774,1.0010748776083511
2022-08-15,1.0419330423066784,0.9887533464513621,1.0039449396387172,1.001762903650095
2022-08-16,1.0352487503128418,0.9935521173564801,1.0064286703905772,1.004434777637596
